Pressure1,Pressure2,Pressure3,predicted_position1,predicted_position2,predicted_position3
-20,-20,-20,-0.002255195,0.006449247,0.1615963
-18,-20,-20,-0.006558638,0.006532135,0.1627494
-16,-20,-20,-0.010239315,0.006664767,0.16349974
-14,-20,-20,-0.013684479,0.007019873,0.16418074
-12,-20,-20,-0.017227797,0.007499173,0.16486186
-10,-20,-20,-0.020741405,0.007917248,0.16527128
-8,-20,-20,-0.02404196,0.008230432,0.16544932
-6,-20,-20,-0.027049161,0.008330554,0.16548972
-4,-20,-20,-0.029932452,0.008430395,0.16551696
-2,-20,-20,-0.032841355,0.008470704,0.16546436
0,-20,-20,-0.035759382,0.008486889,0.16535965
2,-20,-20,-0.03865296,0.008547446,0.16522957
4,-20,-20,-0.041542113,0.008587708,0.16510393
6,-20,-20,-0.044366095,0.008602073,0.16486658
8,-20,-20,-0.046984173,0.008964026,0.16448957
10,-20,-20,-0.04950812,0.009256914,0.16409157
12,-20,-20,-0.051906683,0.009380911,0.16367128
14,-20,-20,-0.053802714,0.009523105,0.16315344
16,-20,-20,-0.055635113,0.00964299,0.16262813
18,-20,-20,-0.057461195,0.009740748,0.16213489
20,-20,-20,-0.05924147,0.009913707,0.16162081
22,-20,-20,-0.06098584,0.010110787,0.16109209
24,-20,-20,-0.06272712,0.010155452,0.1605086
26,-20,-20,-0.064437196,0.010244695,0.15996042
28,-20,-20,-0.065881625,0.010652152,0.1595187
30,-20,-20,-0.067299746,0.010835175,0.15926585
32,-20,-20,-0.06869926,0.010991694,0.1590449
34,-20,-20,-0.06988426,0.010924574,0.15888484
-20,-18,-20,0.000108992,0.002509926,0.16252373
-18,-18,-20,-0.00414556,0.002620813,0.16383767
-16,-18,-20,-0.008164426,0.002791473,0.16479893
-14,-18,-20,-0.011667564,0.00297811,0.16557263
-12,-18,-20,-0.01518257,0.003271279,0.16624373
-10,-18,-20,-0.01870742,0.003687675,0.16666776
-8,-18,-20,-0.022087198,0.004125765,0.16690321
-6,-18,-20,-0.025235046,0.00441257,0.1670222
-4,-18,-20,-0.028107842,0.004525308,0.1669623
-2,-18,-20,-0.031001426,0.004585865,0.16683222
0,-18,-20,-0.033910967,0.004645449,0.16671918
2,-18,-20,-0.036829304,0.004677624,0.16662543
4,-18,-20,-0.03977386,0.004495795,0.16663831
6,-18,-20,-0.042618524,0.004389463,0.16655706
8,-18,-20,-0.045221094,0.00463513,0.16631933
10,-18,-20,-0.047791284,0.004868372,0.16606519
12,-18,-20,-0.050324503,0.005194038,0.16570254
14,-18,-20,-0.05226186,0.005443643,0.1652246
16,-18,-20,-0.05415974,0.005547095,0.16473225
18,-18,-20,-0.056045264,0.005644408,0.16424741
20,-18,-20,-0.057850987,0.005791787,0.16374572
22,-18,-20,-0.059618097,0.005918221,0.163193
24,-18,-20,-0.061407164,0.005921478,0.16259743
26,-18,-20,-0.063106135,0.005987813,0.16202241
28,-18,-20,-0.06453402,0.006222249,0.16172346
30,-18,-20,-0.06594358,0.006384636,0.16149767
32,-18,-20,-0.06730304,0.006429915,0.16137244
34,-18,-20,-0.06849849,0.006440331,0.16114096
-20,-16,-20,0.002384592,-0.001680865,0.16327074
-18,-16,-20,-0.001862559,-0.001548987,0.16459976
-16,-16,-20,-0.005969789,-0.001307194,0.16575587
-14,-16,-20,-0.009788128,-0.000962303,0.16669202
-12,-16,-20,-0.013301481,-0.000730458,0.16746731
-10,-16,-20,-0.016659241,-0.000460644,0.16796431
-8,-16,-20,-0.019974101,6.55E-06,0.16823472
-6,-16,-20,-0.023259815,0.000442676,0.16837566
-4,-16,-20,-0.026264144,0.000683581,0.16832684
-2,-16,-20,-0.029179156,0.000742828,0.16821961
0,-16,-20,-0.032105457,0.000709942,0.16815828
2,-16,-20,-0.035050016,0.000528113,0.16817115
