P1,P2,P3,thetaX,thetaY,d,pred_x,pred_y,pred_z
-17105.3,-20000,-20000,0.008041568,0.005685259,4.65E-07,0.001024074,-0.001935736,0.169954409
-14210.5,-20000,-20000,0.001347219,0.013098697,0,0.002358931,-0.000324205,0.169930358
-11315.8,-20000,-20000,-0.012944817,0.012386901,0,0.002230718,0.003114535,0.169850927
-8421.1,-20000,-20000,-0.021181605,0.010667686,0,0.001921122,0.005095022,0.169719857
-5526.3,-20000,-20000,-0.029441315,0.010609291,0,0.001910604,0.007078826,0.1695019
-2631.6,-20000,-20000,-0.035997479,0.011143146,0,0.002006731,0.008651297,0.169273314
263.2,-20000,-20000,-0.03979758,0.010664319,1.81E-06,0.001920942,0.009564529,0.169131814
3157.9,-20000,-20000,-0.049463986,0.018129797,0,0.003264611,0.011870858,0.168592026
6052.6,-20000,-20000,-0.057133616,0.017934193,2.65E-05,0.003232765,0.013712469,0.168247059
8947.4,-20000,-20000,-0.065363945,0.012151194,2.68E-10,0.002188197,0.015661205,0.167715197
11842.1,-20000,-20000,-0.074576495,0.012704207,3.31E-05,0.002290631,0.017863678,0.167137391
14736.8,-20000,-20000,-0.044280304,0.007070976,0,0.001273425,0.010635725,0.16895614
17631.6,-20000,-20000,-0.090584827,0.020367283,0.001391059,0.003837345,0.022370528,0.169661362
20526.3,-20000,-20000,-0.096792472,0.02306222,0.001807273,0.004402086,0.024112947,0.170223608
23421.1,-20000,-20000,-0.122582021,0.076779588,0.001799687,0.014609302,0.030152,0.165104843
26315.8,-20000,-20000,-0.12353579,0.024167155,0.003166094,0.004807441,0.031587988,0.171040087
29210.5,-20000,-20000,-0.133116678,0.032347093,0.003464876,0.006489498,0.034168477,0.170407781
32105.3,-20000,-20000,-0.145005103,0.03788561,0.004166212,0.007754992,0.037676934,0.170497256
35000,-20000,-20000,-0.165062482,0.033261146,0.005302048,0.007029472,0.043735957,0.170528739
-20000,-17105.3,-20000,-0.173326079,0.054319454,0.005863925,0.011644938,0.046253338,0.169844365
-17105.3,-17105.3,-20000,3.19E-06,-3.19E-06,0,-5.76E-07,-7.72E-07,0.169993802
-14210.5,-17105.3,-20000,-0.002135255,0.002119946,3.93E-09,0.000381867,0.000514203,0.169995826
-11315.8,-17105.3,-20000,-0.007279337,0.001084889,0,0.000195391,0.001751995,0.169971812
-8421.1,-17105.3,-20000,-0.015483979,0.001039128,0,0.000187145,0.003725854,0.169874173
-5526.3,-17105.3,-20000,-0.023650166,0.00150565,0,0.000271163,0.005688957,0.169706618
-2631.6,-17105.3,-20000,-0.031275655,0.001625059,0,0.000292668,0.007520048,0.169487666
263.2,-17105.3,-20000,-0.038321999,0.0024666,7.47E-09,0.000444225,0.009209684,0.169230323
3157.9,-17105.3,-20000,-0.046606688,0.001835284,0,0.000330526,0.011192749,0.16886455
6052.6,-17105.3,-20000,-0.053292312,0.002751053,0.000220542,0.000499174,0.012863372,0.169170959
8947.4,-17105.3,-20000,-0.061110138,0.002148745,0.000521812,0.000393769,0.014847991,0.169601112
11842.1,-17105.3,-20000,-0.069257914,0.003603079,0.000833175,0.000666998,0.016939148,0.169965508
14736.8,-17105.3,-20000,-0.077894051,0.004445803,0.001181479,0.000832258,0.019189732,0.170326447
17631.6,-17105.3,-20000,-0.082449686,0.004001957,0.000134099,0.00072403,0.019778361,0.166852973
20526.3,-17105.3,-20000,-0.103173058,0.005812749,0.002127429,0.001120868,0.025882903,0.170689527
23421.1,-17105.3,-20000,-0.107047056,0.010204053,0.002469528,0.001988364,0.027049064,0.171229337
26315.8,-17105.3,-20000,-0.125516305,0.012252892,0,0.002206066,0.029725356,0.161821628
29210.5,-17105.3,-20000,-0.173236917,0.018862244,0.004699173,0.003919397,0.045204528,0.167687117
32105.3,-17105.3,-20000,-0.142536346,0.023526668,0.004289945,0.004835691,0.037208767,0.171589306
35000,-17105.3,-20000,-0.156310343,0.03076679,0.005083801,0.006465049,0.041343796,0.171481864
-20000,-14210.5,-20000,-0.199675498,0.0387478,0.006704351,0.008494765,0.053822995,0.167525085
-17105.3,-14210.5,-20000,-0.004568545,0.003196197,0,0.000575647,0.001099596,0.169984989
-14210.5,-14210.5,-20000,0.002835171,-0.009475611,0,-0.001706531,-0.000682334,0.169959844
-11315.8,-14210.5,-20000,-0.006233488,-0.009269632,0,-0.001669434,0.001500156,0.169945263
-8421.1,-14210.5,-20000,-0.01376821,-0.006703856,0,-0.001207349,0.00331307,0.169882843
-5526.3,-14210.5,-20000,-0.021077608,-0.006385317,0,-0.001149957,0.005070488,0.169751363
-2631.6,-14210.5,-20000,-0.028436596,-0.00669299,1.71E-09,-0.001205363,0.006838229,0.169559354
263.2,-14210.5,-20000,-0.035172461,-0.009850355,0,-0.001773938,0.008453806,0.16931478
3157.9,-14210.5,-20000,-0.042427285,-0.009691856,0.000151983,-0.001754531,0.010232998,0.169475366
6052.6,-14210.5,-20000,-0.049923757,-0.009482878,0.000418223,-0.001731855,0.012112846,0.169909065
8947.4,-14210.5,-20000,-0.057696961,-0.009093681,0.000705145,-0.001676425,0.014086857,0.17032769
11842.1,-14210.5,-20000,-0.06586677,-0.008473855,0.001017623,-0.001578025,0.016189211,0.170729903
14736.8,-14210.5,-20000,-0.075511723,-0.006379429,0.001388186,-0.001202145,0.018703119,0.171121905
17631.6,-14210.5,-20000,-0.083600248,-0.00420891,0.001726368,-0.000801635,0.020849863,0.171450355
20526.3,-14210.5,-20000,-0.093635373,-0.003100224,0.002142022,-0.000598149,0.023544008,0.17173534
23421.1,-14210.5,-20000,-0.103585413,-0.001170374,0.002603049,-0.000229016,0.026279966,0.172048081
26315.8,-14210.5,-20000,-0.115121531,0.00189731,0.003163594,0.000377559,0.029516869,0.172338196
29210.5,-14210.5,-20000,-0.127060462,0.006168612,0.003752924,0.001248956,0.032926316,0.172487733
32105.3,-14210.5,-20000,-0.139916469,0.011777382,0.00443235,0.002431425,0.036690091,0.172562551
35000,-14210.5,-20000,-0.14129196,0.017005239,0.0048619,0.003553802,0.037388605,0.173520306
-20000,-11315.8,-20000,-0.168544422,0.027766365,0.006104697,0.006000616,0.045418948,0.172291177
-17105.3,-11315.8,-20000,0.002423471,-0.002423473,3.92E-09,-0.000436505,-0.000583435,0.169994593
-14210.5,-11315.8,-20000,0.007888412,-0.020233842,1.11E-06,-0.003644144,-0.001898018,0.169806605
-11315.8,-11315.8,-20000,-0.002177887,-0.02263699,0,-0.004076046,0.000523868,0.169792384
-8421.1,-11315.8,-20000,-0.013097702,-0.017052853,0,-0.003070817,0.003150769,0.169793878
-5526.3,-11315.8,-20000,-0.017076236,-0.021211416,0,-0.003819351,0.004106463,0.169667497
