P1,P2,P3,Fx,Fy,Fz,thetaX,thetaY,d,X,Y,Z
0,0,0,0,0,0,-0.006486748,0.008596647,0.001587811,8.93E-07,-1.27E-06,0.176499995
0,0,0,0,0,0,-0.006369956,0.009158953,0.001599045,0.000234775,-2.30E-06,0.176499825
0,0,0,0,0,0,-0.006247647,0.009749795,0.001609858,0.000479748,-3.47E-06,0.176499336
0,0,0,0,0,0,-0.006143523,0.010269572,0.001618007,0.000693073,-4.51E-06,0.176498634
0,0,0,0,0,0,-0.006105381,0.010762275,0.001623844,0.000871518,-5.38E-06,0.176497845
0,0,0,0,0,0,-0.006073637,0.011166475,0.001628926,0.0010193,-6.09E-06,0.176497054
0,0,0,0,0,0,-0.006047484,0.011500343,0.0016331,0.001141372,-6.67E-06,0.176496307
0,0,0,0,0,0,-0.006025943,0.011775942,0.001636529,0.001242139,-7.15E-06,0.176495629
0,0,0,0,0,0,-0.006008195,0.012003386,0.001639349,0.001325303,-7.54E-06,0.176495027
0,0,0,0,0,0,-0.005989044,0.012199797,0.001641858,0.001393935,-7.86E-06,0.176494503
0,0,0,0,0,0,-0.005969136,0.012369795,0.001644097,0.001450573,-8.12E-06,0.176494053
0,0,0,0,0,0,-0.005952712,0.012510088,0.001645942,0.001497314,-8.34E-06,0.17649367
0,0,0,0,0,0,-0.005939168,0.01262586,0.001647462,0.001535885,-8.52E-06,0.176493346
0,0,0,0,0,0,-0.005927991,0.012721395,0.001648716,0.001567716,-8.66E-06,0.176493074
0,0,0,0,0,0,-0.005918771,0.012800233,0.001649749,0.001593983,-8.78E-06,0.176492846
0,0,0,0,0,0,-0.005908785,0.012868004,0.001650793,0.001615659,-8.88E-06,0.176492657
0,0,0,0,0,0,-0.005899197,0.012925472,0.001651762,0.001633546,-8.97E-06,0.1764925
0,0,0,0,0,0,-0.005891281,0.01297289,0.001652562,0.001648307,-9.03E-06,0.17649237
0,0,0,0,0,0,-0.005884748,0.013012029,0.001653223,0.001660488,-9.09E-06,0.176492262
0,0,0,0,0,0,-0.00587936,0.013044319,0.001653768,0.001670539,-9.14E-06,0.176492173
0,0,0,0,0,0,-0.005873795,0.01307133,0.001654234,0.001678834,-9.18E-06,0.1764921
0,0,0,0,0,0,-0.005869191,0.013093626,0.001654619,0.001685678,-9.21E-06,0.17649204
0,0,0,0,0,0,-0.005865385,0.013112025,0.001654937,0.001691327,-9.23E-06,0.17649199
0,0,0,0,0,0,-0.005862248,0.013127212,0.001655199,0.001695988,-9.26E-06,0.17649195
0,0,0,0,0,0,-0.00585966,0.013139738,0.001655416,0.001699834,-9.27E-06,0.176491916
0,0,0,0,0,0,-0.005857521,0.013150077,0.001655595,0.001703007,-9.29E-06,0.176491889
0,0,0,0,0,0,-0.005855759,0.013158605,0.001655742,0.001705626,-9.30E-06,0.176491866
0,0,0,0,0,0,-0.005854304,0.013165647,0.001655864,0.001707788,-9.31E-06,0.176491848
0,0,0,0,0,0,-0.005853101,0.013171455,0.001655965,0.001709571,-9.32E-06,0.176491833
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.005852108,0.013176248,0.001656048,0.001711042,-9.33E-06,0.176491821
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.007816154,0.030889899,0.002349237,0.005279586,0.00133727,0.177411552
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.01096955,0.049289156,0.003032696,0.008879636,0.00263683,0.178092952
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.014996288,0.06507885,0.003611686,0.012056372,0.003696201,0.178575848
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.01793323,0.077669546,0.004077625,0.014786416,0.004515815,0.178921723
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.02006235,0.08836798,0.004542089,0.017124515,0.005133478,0.179174309
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.021477707,0.09715015,0.004906777,0.019132428,0.005589525,0.179362574
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.022298368,0.10416624,0.005205275,0.020864477,0.005919011,0.179505552
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.02279575,0.110250965,0.005457368,0.022365731,0.006150603,0.17961584
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.023137374,0.115315296,0.00567125,0.023672986,0.006307149,0.179701903
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.023334144,0.1195586,0.005847944,0.024816193,0.006406631,0.179769548
